d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result;clusterIndex
Teleport;Flash;Poppy;Red;Top;0.2857142857142857;0.25141113653699465;0.11006558311947534;0.25141113653699465;0.3157894736842105;0.3199299742874337;0.17391304347826086;0.3535353535353536;0.18480755917752653;0.27195520432986425;0.49691358024691357;0.16666666666666666;0.14074074074074075;1;1
Ignite;Flash;Karma;Red;Support;0.42857142857142855;0.04078311721332316;0.03508771929824561;0.04078311721332316;0.15789473684210525;0.14366212593686745;0.043478260869565216;0.21212121212121213;0.023847116120334726;0.053792229851304864;0.027777777777777776;0.0;0.32592592592592595;1;0
Ignite;Teleport;Gwen;Blue;Top;0.21428571428571427;0.3153826595474193;0.22835531943631535;0.3153826595474193;0.3684210526315789;0.7948465452158215;0.6521739130434783;0.12121212121212122;0.5180194404297784;0.7032718688373566;0.9074074074074073;0.3333333333333333;0.31111111111111117;1;2
Exhaust;Flash;Senna;Blue;Support;0.5714285714285714;0.0928553267226036;0.21141176294028485;0.0928553267226036;0.5263157894736842;0.5065375567591226;0.30434782608695654;0.26262626262626265;0.17081425523559682;0.3454966820687769;0.18209876543209877;0.16666666666666666;0.562962962962963;1;3
Ignite;Flash;Nami;Red;Support;0.5;0.008949911009407577;0.007593834886617743;0.008949911009407577;0.42105263157894735;0.20411401061327206;0.043478260869565216;0.27272727272727276;0.01175858565003178;0.19851448805976596;0.015432098765432098;0.16666666666666666;0.33333333333333337;0;0
Ghost;Teleport;TahmKench;Blue;Top;0.42857142857142855;0.26570048309178745;0.13746942205813936;0.26570048309178745;0.21052631578947367;0.3238689206192899;0.08695652173913043;0.27272727272727276;0.1578148341571833;0.3737818658145125;0.36111111111111105;0.3333333333333333;0.08888888888888889;1;1
Heal;Flash;Seraphine;Red;Adc;0.39285714285714285;0.10836511568777014;0.04845947203337686;0.10836511568777014;0.15789473684210525;0.32025821981508834;0.17391304347826086;0.19191919191919193;0.15341422041933356;0.09137625771904825;0.4444444444444444;0.16666666666666666;0.08148148148148149;1;1
Teleport;Flash;Malzahar;Blue;Mid;0.42857142857142855;0.2146453089244851;0.28876082421622923;0.2146453089244851;0.2631578947368421;0.39559056841183876;0.13043478260869565;0.5757575757575758;0.252181076956087;0.16697614832088212;0.45679012345679004;0.3333333333333333;0.1851851851851852;0;1
Flash;Smite;LeeSin;Blue;Jungle;0.39285714285714285;0.0334604627510806;0.47601038524454853;0.0334604627510806;0.42105263157894735;0.5914984408337436;0.5217391304347826;0.25252525252525254;0.36406273404828127;0.5958889320723756;0.10802469135802469;0.16666666666666666;0.30370370370370375;1;3
Ghost;Smite;Hecarim;Blue;Jungle;0.39285714285714285;0.038850750063564705;0.14392268095388172;0.038850750063564705;0.21052631578947367;0.49138355489906455;0.3913043478260869;0.13131313131313133;0.33451951532522844;0.5621626290106664;0.09259259259259259;0.16666666666666666;0.21481481481481482;1;3
Heal;Flash;Vayne;Red;Adc;0.21428571428571427;0.24302059496567505;0.14887518196689328;0.24302059496567505;0.3684210526315789;0.5960938782209093;0.4782608695652174;0.05050505050505051;0.30500058701839194;0.2991176174230974;0.5895061728395061;0.3333333333333333;0.05185185185185184;1;2
Flash;Teleport;Sylas;Red;Mid;0.10714285714285714;0.03086702262903636;0.05506280671739228;0.03086702262903636;0.3157894736842105;0.27884457574265553;0.17391304347826086;0.15151515151515152;0.15245070057608773;0.3018525715766291;0.4135802469135802;0.0;0.11851851851851852;0;1
